0, 0.7198185941043084, 0.46439909297052157, G♯1, 32.0, 100
1, 1.3699773242630386, 0.7198185941043084, F1, 29.0, 100
2, 2.2987755102040817, 1.3699773242630386, F♯1, 30.0, 100
3, 3.01859410430839, 2.2987755102040817, F1, 29.0, 100
4, 12.376235827664399, 3.01859410430839, F♯1, 30.0, 100
5, 12.49233560090703, 12.376235827664399, E1, 28.0, 100
6, 15.418049886621315, 15.232290249433106, F♯1, 30.0, 100
7, 26.679727891156464, 15.418049886621315, G♯1, 32.0, 100
8, 26.842267573696144, 26.679727891156464, G1, 31.0, 100
9, 27.074467120181406, 26.842267573696144, D♯1, 27.0, 100
10, 29.024943310657598, 28.81596371882086, A1, 33.0, 100
11, 38.91664399092971, 29.024943310657598, A♯1, 34.0, 100
12, 49.99256235827664, 41.16897959183674, B1, 35.0, 100
13, 52.17523809523809, 51.87337868480726, D2, 38.0, 100
14, 61.09170068027211, 52.17523809523809, C♯2, 37.0, 100
15, 62.71709750566894, 62.62421768707483, C♯2, 37.0, 100
16, 62.99573696145125, 62.71709750566894, D2, 38.0, 100
17, 71.70321995464853, 62.99573696145125, D♯2, 39.0, 100
18, 71.88897959183673, 71.70321995464853, E2, 40.0, 100
19, 82.17541950113379, 73.21251700680273, F2, 41.0, 100
20, 84.14911564625851, 83.8704761904762, E2, 40.0, 100
21, 84.65995464852608, 84.14911564625851, F2, 41.0, 100
22, 94.7374149659864, 84.65995464852608, F♯2, 42.0, 100
23, 94.96961451247165, 94.7374149659864, F2, 41.0, 100
